solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(INC);554563280;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.15;0.06;0.21;0.44;0.0;34112;6;0;0;0
DynASP;(INC);600817034;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.46;0.08;0.22;0.79;0.01;43456;6;0;0;0
DynASP;(PRIM);0;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.02;0.02;0.06;0.0;15920;3;0;0;0
DynASP;(PRIM);1881060079;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.02;0.02;0.05;0.01;15920;3;0;0;0
DynASP;(PRIM);2156980077;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.0;0.03;0.02;0.07;0.0;15920;3;0;0;0
DynASP;(PRIM);2460733895;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.0;0.03;0.02;0.06;0.0;15904;3;0;0;0
DynASP;(PRIM);2987179023;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.0;0.02;0.02;0.04;0.01;15920;3;0;0;0
DynASP;(PRIM);3025012838;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15920;3;0;0;0
DynASP;(PRIM);3630735793;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.02;0.02;0.06;0.0;15904;3;0;0;0
DynASP;(PRIM);4176834253;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.02;0.02;0.06;0.0;15920;3;0;0;0
DynASP;(PRIM);554563280;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.04;0.0;15920;3;0;0;0
DynASP;(PRIM);600817034;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.02;0.01;0.05;0.0;15904;3;0;0;0
DynASP;(INVPRIM);0;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.02;0.02;0.06;0.0;15984;3;0;0;0
DynASP;(INVPRIM);1881060079;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15984;3;0;0;0
DynASP;(INVPRIM);2156980077;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.0;0.02;0.02;0.06;0.0;15968;3;0;0;0
DynASP;(INVPRIM);2460733895;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15968;3;0;0;0
DynASP;(INVPRIM);2987179023;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15984;3;0;0;0
DynASP;(INVPRIM);3025012838;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.02;0.02;0.06;0.0;15984;3;0;0;0
DynASP;(INVPRIM);3630735793;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15968;3;0;0;0
DynASP;(INVPRIM);4176834253;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.02;0.02;0.06;0.0;15984;3;0;0;0
DynASP;(INVPRIM);554563280;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15984;3;0;0;0
DynASP;(INVPRIM);600817034;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.06;0.0;15984;3;0;0;0
DynASP;(INC);0;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.0;0.01;0.02;0.04;0.0;15888;3;0;0;0
DynASP;(INC);1881060079;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.04;0.0;15888;3;0;0;0
DynASP;(INC);2156980077;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15888;3;0;0;0
DynASP;(INC);2460733895;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.04;0.07;0.0;15856;3;0;0;0
DynASP;(INC);2987179023;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15888;3;0;0;0
DynASP;(INC);3025012838;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.04;0.01;15888;3;0;0;0
DynASP;(INC);3630735793;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15872;3;0;0;0
DynASP;(INC);4176834253;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.05;0.0;15888;3;0;0;0
DynASP;(INC);554563280;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.01;0.01;0.02;0.04;0.0;15888;3;0;0;0
DynASP;(INC);600817034;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_metro+tram.gml.lparse.undirected.bz2;2513;0.0;0.01;0.04;0.06;0.0;15888;3;0;0;0
DynASP;(PRIM);0;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_train+metro+tram.gml.lparse.undirected.bz2;29565521395200;0.05;0.27;0.29;0.63;0.0;23136;4;0;0;0
DynASP;(PRIM);1881060079;vertex_cover_better.lp_a1210993_20150717_0403_subgraph_train+metro+tram.gml.lparse.undirected.bz2;29565521395200;0.05;0.27;0.29;0.63;0.0;23152;4;0;0;0
